Class,Precision,Recall,F1-Score,Support
Class 0: No DR,0.8622589531680441,0.8413978494623656,0.8517006802721089,372
Class 1: Mild,0.49019607843137253,0.3968253968253968,0.43859649122807015,63
Class 2: Moderate,0.6052631578947368,0.8131313131313131,0.6939655172413793,198
Class 3: Severe,0.7333333333333333,0.2972972972972973,0.42307692307692313,37
Class 4: Proliferative DR,0.5555555555555556,0.32786885245901637,0.41237113402061853,61
